Name,Listing id,Price,Link
Used 2015 Lexus NX 200t AWD,573943974,"21,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573943974
Used 2010 Lexus IS 250 AWD,574905149,"13,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574905149
Used 2017 Lexus RX 350 FWD,574732908,"33,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574732908
Certified 2018 Lexus LC 500 Coupe,572184079,"73,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572184079
Used 2010 Lexus IS 250C,573959088,"13,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573959088
Used 2014 Lexus RX 350 AWD,574579392,"21,960",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574579392
Used 2008 Lexus RX 350 AWD,571040429,"12,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571040429
Used 2020 Lexus RX 350L FWD w/ Premium Package,574771644,"44,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574771644
Used 2017 Lexus RX 350 AWD,574793083,"29,980",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574793083
Used 2018 Lexus NX 300h AWD,574762172,"32,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574762172
Used 2017 Lexus NX 200t FWD,573237403,"25,981",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573237403
Used 2015 Lexus ES 350,574828463,"18,385",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574828463
Used 2015 Lexus RX 350 AWD,574842197,"24,951",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574842197
Used 2013 Lexus ES 350 w/ Premium Package,567883177,"16,487",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567883177
Used 2017 Lexus RX 350 F Sport,574151794,"35,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574151794
Used 2017 Lexus ES 350,574097585,"22,855",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574097585
Used 2017 Lexus ES 350,574232179,"27,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574232179
Used 2016 Lexus ES 350 w/ Ultra Luxury Package,571705455,"18,977",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571705455
Used 2008 Lexus LS 460,574807607,"10,967",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574807607
Used 2019 Lexus NX 300 FWD,574817891,"33,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817891
Used 2017 Lexus RX 350 AWD,573994146,"29,955",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573994146
Used 2018 Lexus ES 350,574056756,"28,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574056756
Used 2013 Lexus ES 350,569796434,"18,772",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569796434
Used 2018 Lexus GX 460 Premium,569937639,"39,805",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569937639
Used 2019 Lexus RX 450h AWD,569325351,"41,600",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569325351
Used 2018 Lexus RX 450h AWD,574589178,"41,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574589178
Used 2016 Lexus IS 300 AWD,574695692,"20,576",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574695692
Used 2002 Lexus ES 300,574765721,"4,600",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574765721
Used 2017 Lexus NX 200t F Sport,574056753,"30,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574056753
Used 2010 Lexus RX 350 AWD,574279800,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574279800
Used 2017 Lexus NX 200t AWD,574316522,"25,994",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574316522
Used 2013 Lexus RX 450h AWD,567775892,"18,891",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567775892
