Name,Listing id,Price,Link,Year,Age
Used 2011 Lexus CT 200h,567265522,8449,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567265522,2011,10
Used 2020 Lexus RX 450hL AWD w/ Premium Package,567326135,52299,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567326135,2020,1
Used 2014 Lexus GX 460,567264312,28997,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567264312,2014,7
Used 2014 Lexus GX 460 Luxury,567367616,30884,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567367616,2014,7
Used 2019 Lexus IS 300,568360074,26994,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568360074,2019,2
Used 2017 Lexus NX 200t FWD,567865208,25588,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567865208,2017,4
Used 2013 Lexus ES 350,567825787,13966,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567825787,2013,8
Used 2007 Lexus LS 460,566633416,5964,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566633416,2007,14
Used 2017 Lexus RX 350 F Sport,566538189,32544,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566538189,2017,4
Used 2004 Lexus ES 330,566567182,7995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566567182,2004,17
Used 2017 Lexus GS 350 AWD,566761778,29790,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566761778,2017,4
Used 2019 Lexus IS 300,566763801,30800,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566763801,2019,2
Used 2017 Lexus NX 200t FWD,566555676,24798,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566555676,2017,4
Used 2017 Lexus IS 300 AWD,566285563,28198,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566285563,2017,4
