"open","high","low","close","volume","dates","CloseValueAboveMean","Year"
199.776001,202.399994,198.802002,200.356003,31826500,199.776001,"False","199."
198.822006,200.175995,190.628006,192.169998,54798000,198.822006,"False","198."
190.854004,197.195999,187.429993,197.195999,46272500,190.854004,"False","190."
198.955994,199,190.973999,191.947998,44274500,198.955994,"False","198."
193.802002,202,189.703995,201.869995,45132000,193.802002,"False","193."
201.300003,217.537994,200.746002,215.962006,84592500,201.300003,"False","201."
216.600006,227.065994,216.100006,223.925995,66634500,216.600006,"False","216."
244.296005,245.600006,237.119995,241.731995,86250500,244.296005,"True","244."
255.337997,275.558014,253.207993,274.31601,102849500,255.337997,"True","255."
281.002014,285.899994,267.34201,277.971985,107448500,281.002014,"True","281."
281,283.451996,262.268005,273.175995,81556500,281,"True","281"
279.39801,281.712006,270.256012,278.855988,58588000,279.39801,"True","279."
279.200012,309.783997,275.201996,308.929993,116688000,279.200012,"True","279."
331.799988,358.997986,294.221985,299.411987,194927000,331.799988,"True","331."
311.200012,318,286.200012,303.359985,117090500,311.200012,"True","311."
308.600006,310,291.399994,309.201996,81839000,308.600006,"True","308."
295.432007,306.34201,293.200012,300.127991,71504000,295.432007,"True","295."
302.690002,307.502014,298,300.167999,46650000,302.690002,"True","302."
303.802002,330,297.600006,328.600006,85607000,303.802002,"True","303."
327.985992,335,311.600006,313.671997,80786500,327.985992,"True","327."
319.799988,325.283997,312.399994,318.466003,70805500,319.799988,"True","319."
335.790009,337.799988,296.153992,302.614014,121642500,335.790009,"True","335."
283.201996,293,273.308014,283.399994,96983000,283.201996,"True","283."
287,309.588013,282.600006,307.920013,80243500,287,"True","287"
300.799988,312.940002,294.884003,295.298004,79043500,300.799988,"True","300."
300.200012,306.962006,297.399994,299.821991,47134500,300.200012,"True","300."
297.600006,302.64801,294.200012,297.497986,38105000,297.600006,"True","297."
303,303.410004,284.196014,286.152008,61235000,303,"True","303"
289.839996,301.962006,288.876007,297,44046500,289.839996,"True","289."
299.002014,305.481995,292.399994,297.399994,42075000,299.002014,"True","299."
298.597992,299.967987,293.661987,297.003998,24890000,298.597992,"True","298."
298.165985,303.462006,295.451996,297.915985,29961500,298.165985,"True","298."
299.90799,299.950012,283.002014,290.541992,44482000,299.90799,"True","299."
289.600006,291.5,277.167999,283.713989,37611500,289.600006,"True","289."
279.200012,284,273,274.877991,43129000,279.200012,"True","279."
294,317,287,310.951996,109494000,294,"True","294"
322.200012,330.235992,313.451996,324.200012,102126500,322.200012,"True","322."
332.997986,333.76001,325.328003,330.141998,62888000,332.997986,"True","332."
335.399994,369.171997,334.56601,367.127991,101211500,335.399994,"True","335."
379.798004,384.779999,369.022003,377.417999,82372500,379.798004,"True","379."
373,382.200012,368.242004,375.705994,61026500,373,"True","373"
372.135986,404.39801,371.411987,400.365997,103059000,372.135986,"True","372."
408.951996,419.097992,405.01001,409.996002,107448000,408.951996,"True","408."
425.256012,425.799988,385.503998,402.839996,100318000,425.256012,"True","425."
394.977997,405.589996,393.600006,404.667999,53294500,394.977997,"True","394."
412,433.200012,410.726013,430.634003,71197000,412,"True","412"
436.09201,459.119995,428.5,447.75,118465000,436.09201,"True","436."
459.023987,463.697998,437.303986,442.679993,100406000,459.023987,"True","459."
444.609985,500.140015,440.109985,498.320007,118374400,444.609985,"True","444."
502.140015,502.48999,470.51001,475.049988,90119400,502.140015,"True","502."
478.98999,479.040009,405.119995,447.369995,96176100,478.98999,"True","478."
407.230011,431.799988,402,407,87596100,407.230011,"True","407."
402.809998,428,372.019989,418.320007,110321900,402.809998,"True","402."
356,368.73999,329.880005,330.209991,115465700,356,"True","356"
356.600006,369,341.51001,366.279999,79465800,356.600006,"True","356."
386.209991,398.98999,360.559998,371.339996,84930600,386.209991,"True","386."
381.940002,382.5,360.5,372.720001,60717500,381.940002,"True","381."
380.950012,420,373.299988,419.619995,83020600,380.950012,"True","380."
436.559998,461.940002,430.700012,449.76001,97298200,436.559998,"True","436."
439.869995,457.790009,435.309998,441.76001,72279300,439.869995,"True","439."
415.600006,437.790009,408,423.429993,76779200,415.600006,"True","415."
447.940002,451,428.799988,442.149994,86406800,447.940002,"True","447."
453.130005,455.679993,407.070007,449.390015,109476800,453.130005,"True","453."
429.600006,437.76001,417.600006,424.230011,79580800,429.600006,"True","429."
405.160004,412.149994,375.880005,380.359985,95074200,405.160004,"True","405."
363.799988,399.5,351.299988,387.790009,96561100,363.799988,"True","363."
393.470001,408.730011,391.299988,407.339996,67208500,393.470001,"True","393."
424.619995,428.079987,415.549988,421.200012,49719600,424.619995,"True","424."
416,428.5,411.600006,419.070007,50219300,416,"True","416"
421.320007,433.929993,420.470001,429.01001,48145600,421.320007,"True","421."
440.76001,448.880005,434.420013,448.160004,50741500,440.76001,"True","440."
421.390015,439.130005,415,415.089996,71430000,421.390015,"True","421."
423.350006,433.640015,419.329987,425.679993,44722800,423.350006,"True","423."
423.790009,428.779999,406.049988,413.980011,49146300,423.790009,"True","423."
419.869995,429.899994,413.850006,425.299988,43127700,419.869995,"True","419."
438.440002,439,425.299988,425.920013,40421100,438.440002,"True","438."
430.130005,434.589996,426.459991,434,28925700,430.130005,"True","430."
442,448.73999,438.579987,442.299988,38791100,442,"True","442"
443.350006,448.890015,436.600006,446.649994,34463700,443.350006,"True","443."
449.779999,465.899994,447.350006,461.299988,48045400,449.779999,"True","449."
450.309998,456.570007,442.5,448.880005,35672400,450.309998,"True","450."
454.440002,455.950012,438.850006,439.670013,32775900,454.440002,"True","454."
446.23999,447,428.869995,430.829987,36287800,446.23999,"True","446."
431.75,431.75,419.049988,421.940002,31656300,431.75,"True","431."
422.700012,432.950012,421.25,422.640015,32370500,422.700012,"True","422."
441.920013,445.230011,424.51001,425.790009,39993200,441.920013,"True","441."
421.839996,422.890015,407.380005,420.630005,33717000,421.839996,"True","421."
411.630005,425.76001,410,420.279999,28239200,411.630005,"True","411."
423.76001,430.5,420.100006,424.679993,22686500,423.76001,"True","423."
416.480011,418.600006,406,406.019989,25451400,416.480011,"True","416."
409.959991,418.059998,406.459991,410.829987,22655300,409.959991,"True","409."
406.899994,407.589996,379.109985,388.040009,42511300,406.899994,"True","406."
394,406.980011,392.299988,400.51001,29021100,394,"True","394"
409.730011,427.769989,406.690002,423.899994,34351700,409.730011,"True","409."
430.619995,435.399994,417.100006,420.980011,32143100,430.619995,"True","430."
428.299988,440,424,438.089996,28188800,428.299988,"True","428."
